id	text	emotions
122	Well, this is totally random, I got this full ride scholarship to go to U.S.C next year to play softball.	bliss enthusiasm	
123	For softball.  They're going to pay me to go to school. Isn't that awesome?	disgust	
124	Yeah.  Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit.  But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here.	ecstasy pleasantness	
125	Uh huh.	anger	
126	That is incredible.	enthusiasm delight	
127	That's amazing. They pay for everything?	delight joy	
128	I know. For softball, yeah.	serenity	
129	That is amazing, congratulations. Good for you.	ecstasy delight	
130	Thank you.	acceptance	
131	Oh.		
132	Yeah, that you probably. You should see one of these Victorian houses around by.	ecstasy pleasantness	
133	Where should I move?		
134	Oh. Venice beach.	serenity acceptance	
135	Okay. That would be way too much of a commute you can't do that. Especially- I know especially from--I don't know, what I was going to say, I don't know.	serenity	
136	Professional softball player Malibu. [LAUGHTER]	delight enthusiasm	
137	I don't know. Commuting from what Malibu that would be ridiculous.	dislike annoyance	
138	Oh yeah, that would be.  Well, depends on what type of car you had, though too. I guess it would be worth it. helicopter. Yeah, helicopter.  There is a helipad there, right? Yeah, exactly.	ecstasy enthusiasm	
139	Oh yeah. He'd drop you right off at practice?	fear	
140	Yeah. I think it's in the afternoon 'cause I mean can't be too early 'cause then you can't see the ball.	acceptance serenity	
141	They have those neon--softballs.  They're like day-glow you can see them anywhere.	ecstasy	
142	Oh. That is incredible. Is it--	enthusiasm delight	
143	do they have a--is it a co-ed softball team?  I mean... Really? You know, I didn't even know that they have that.		
144	No it's all boys. All boys' softball team.		
145	They do it's--believe me it's huge.	ecstasy calmness	
146	Who do you play? Like do--are you like... nationally ranked?	delight ecstasy	
147	I just got into it. I just kind of fell into it. Literally I was walking around and...	ecstasy delight	
148	That is unbelievable.	ecstasy delight	
149	It's pretty wild.	enthusiasm ecstasy	
150	I would put that right up there with--ping-pong.	ecstasy delight	
151	Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]	grief disgust	
152	I mean not to denigrate what you are doing.  I think that's great.	delight	
153	What, just 'cause I don't play regular baseball doesn't mean I'm like any less of like a sports guy.	sadness dislike	
154	I am not saying you should be. I'm not no. I think it's great I think you should be incredibly proud yourself especially because you're going to U.S.C for free for doing it. For free.	enthusiasm ecstasy	
155	But they got to like drive around in a bus--that would suck.	bliss	
156	Oh really? With the whole team?		
157	Yeah we have like away games and stuff.	serenity	
158	What are your teammates like? I'm sure you don't know yet? What kind of people play softball?	enthusiasm joy	
159	Like, you know like police officers, like--kind of heavyset guys. Mustaches, yeah. It's that kind of-	ecstasy delight	
160	Cool. You don't seem like you'd fit in there.	disgust	
161	That kind of...They're okay.  No I'm like- I'm kind of like the odd man out I'm like...	annoyance	
162	Oh, cool.	calmness	
163	But you know I'm like [GARBAGE].	disgust	
164	You're like the rookie? The new kid.	dislike annoyance	
165	Yeah.	serenity	
166	I'm going to have a mustache...On the force...	ecstasy delight	
167	Yeah, I'm just-- yeah	serenity	
168	What's happened?	terror loathing	
169	You didn't even hear?		
170	You don't have to if you don't want to.		
171	I just...I just basically lost someone that was really close to me.	pleasantness	
172	And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because...	grief rage	
173	He kind of didn't have anyone to take care of that for him, so--	pleasantness eagerness	
174	You've been taking care of it all?	pleasantness eagerness	
175	Oh Jesus.		
176	It's just really...really messed up.	grief rage	
177	He sick for awhile?	sadness fear	
178	Just like it.		
179	Was it an accident?	sadness fear	
180	No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --	ecstasy bliss	
181	Well, I'm confused.  He was sick or it was an accident?	pleasantness eagerness	
182	He was sick. He got sick. He got sick but it happened really, really fast, you know.	delight	
183	Oh. Really fast? Oh.	delight	
184	It was kind of like boom... done	ecstasy delight	
185	It's just really weird because he was really young you know and it kind of like...	ecstasy enthusiasm	
186	Yeah.	serenity	
187	Totally, yeah.	serenity	
188	So weird you know that like one days it's like you know sounds so stupid but like one day someone's here. And like next day you know they're not here and it just kind of makes you like think about like life and mortality and like that kind of stuff.  You just like used to take for granted--you know.	ecstasy pleasantness	
189	Mmhmm.		
190	Lock	fear dislike	
191	Mmhmm.		
192	The plans you make [GARBAGE].	disgust	
193	Exactly, you know, and like he had so many plans and he was going to do...	bliss delight	
194	It leaves a hole for you too.	grief loathing	
195	so many things, you know?		
196	It leaves a hole for you too, in your plans together.	grief loathing	
197	What?		
198	Yeah.	serenity	
199	It gets better.	delight	
200	A lot of people loved him.	joy	
201	MMhmm.		
202	You know, it's like affecting a lot of people it's not just me, you know?	sadness	
203	Mmhmm.		
204	How long did you know each other?	ecstasy delight	
205	Umm...	ecstasy delight	
206	For like eight years.		
207	That's a long time.	ecstasy delight	
208	Yeah.	serenity	
209	It's good that you were there.	pleasantness	
210	So weird,	sadness fear	
211	like I can't...it's like you know it's like "pinch me" it's like I can't believe like I'm dealing with this, you know.	grief annoyance	
212	It's not fair.	dislike	
213	I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job.	bliss ecstasy	
214	There's a lot of people looking for jobs.		
215	I guess.  But three years?  I mean, I like--I went to college even, I mean I didn't finish but I went for like a little bit.  It's not fair, I don't know.	grief	
216	I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know.	grief terror	
217	Did you ever think it might be your attitude that's...		
218	What's my--like what do you mean "my attitude"?		
219	I don't know just sometimes you get kind of... No, I'm not saying that.  I just--		
220	Do I have an attitude problem?	anger fear	
221	No, well maybe it's because I'm like frustrated 'cause I can't get a job, you know.	sadness disgust	
222	...has anyone ever just said anything like that to you before?		
223	Like it's really hard to like shake that off when you go into like audition a room or whatever, you know what I mean?	grief	
224	Right, sure.	acceptance	
225	But I mean you kind of got to, you got to fake it 'til you feel it, right?	disgust	
226	I guess I just getting really hard to fake, you know.	pleasantness	
227	I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.		
228	Are you hiring? Wait, do you know of a job? Seriously, do you know, like do you know of anything though?  Like, oh please, do you know of anything?	grief loathing	
229	No.  I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.	calmness	
230	No.		
231	What?		
232	Well, you know a little.  If you were to listen to--	pleasantness eagerness	
233	I just don't want you to fly off the handle.	anger	
234	You kind of have a short fuse.	anger	
235	I have a short fuse?	anger	
236	Yeah.	serenity	
237	Like this, right now we're trying have a conversation.	melancholy dislike	
238	We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.	sadness dislike	
239	I'm not always right I'm just--		
240	I can't finish the sentence with you without you jumping in...	grief disgust	
241	...and you're always right.		
242	You have an excuse for everything.	grief loathing	
243	I'm just saying that maybe you should take in some information before you produce more of your own.	ecstasy delight	
244	That's -.		
245	Can I help you?	pleasantness	
246	Yes, please help me.  Where is my bag?	ecstasy calmness	
247	I need a little more information.	ecstasy delight	
248	Where is my bag?  Come on, I've been here for four hours.	ecstasy bliss	
249	What- What flight did you come in on?		
250	Okay, I'm coming in from Atlanta.	serenity	
251	Georgia?		
252	Yes, Georgia.  Good for you I need my bag.  Can you...	ecstasy pleasantness	
253	There's no need for you to raise your voice, sir.	anger	
254	Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?	sadness fear	
255	Listen, shut your smug mouth, okay?  I don't need that.	disgust annoyance	
256	I've been sitting here for four hours.		
257	I'm not a child.		
258	I've been here for sixteen.		
259	You people have just been tossing me around like a used hanky.	sadness fear	
260	I come here every single day.		
261	Details, Details.  Well, anyhow can I--	ecstasy pleasantness	
262	so you flew in from Atlanta...	joy pleasantness	
263	It's a little black bag with wheels.		
264	Do you have any i-?		
265	That you wouldn't let me put in the overhead compartment.  You said I had to check it.	serenity	
266	I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.		
267	It's a tiny little bag.	dislike	
268	It was right in the middle of five different people.  I had a huge fat lady next me, a crying kid on left I went like can I please get a Bloody Mary, please? Will you bring a Bloody Mary?	terror sadness	
269	I have some unfortunate news, uh, that your bag isn't going to be--	annoyance	
270	Just had a really, really stressful day, okay?  And I need my bag; can you please help me get my bag?	rage grief	
271	It's not.  I can offer you fifty dollars and a reimbursement gift cards for our airline...	bliss ecstasy	
272	...and your future...		
273	Yes.	ecstasy calmness	
274	We've actually...		
275	You mean did someone steal it? Do people steal bags?	loathing	
276	They do as matter of fact.  We don't like to publicize it because	ecstasy	
277	people wouldn't Fly our airline.		
278	Probably people that work for your company huh?	ecstasy bliss	
279	Do you know what was in that little bag that I could have just easily put in overhead compartment but no I had to check?	annoyance	
280	My computer which has all of my data which I'm collecting right now.	serenity	
281	That's unfortunate.	annoyance	
282	Yeah it's really unfortunate you know why because I'm going to get fired if I don't get that.  So I need to have that back.	fear anger	
283	That's too bad.	disgust	
284	Well you need to find it. Can I just go back there and look through the bags?  Can I just go back there and just go through maybe I'll find it.	ecstasy pleasantness	
285	No.		
286	We have plenty of aggressive searching going on it's not there.  Someone's taken it.	ecstasy enthusiasm	
287	I know what you guys do when you're not working you're union people; you just sit around on your ass.	loathing grief	
288	You know I don't need to take this sort of abuse.	loathing	
289	Well, I don't need to take this kind of abuse either.  I just was trying get back to Atlanta. I just got home, I just want to get my bag and get my stuff. And keep my job.	ecstasy calmness	
290	Then why don't you take your fifty dollars. Get yourself a taxi and go shopping tomorrow.	ecstasy bliss	
291	[BREATHING]	ecstasy enthusiasm	
292	Thank you very much.	acceptance	
293	I know.  It kind of went out of style, didn't it?	terror loathing	
294	[BREATHING] You know, it's lovely here.  The air is sweet.	ecstasy enthusiasm	
295	You're not sorry you came.	ecstasy eagerness	
296	I'm not sorry, no. But I'm...I can't stay.	ecstasy eagerness	
297	Why not?		
298	For one thing, your mother much as told me to go.		
299	And then, you.  You've been kind of...		
300	Sort of embarrassed ever since I got here.	dislike	
301	Well sure, from your mother's point of view.  Why else would I come?	eagerness pleasantness	
302	I, umm. I guess, I guess that's kind of why I came.	ecstasy delight	
303	[BREATHING]	ecstasy enthusiasm	
304	I love you. Annie, I love you.	grief loathing	
305	[LAUGHTER]	enthusiasm delight	
306	[LAUGHTER]	enthusiasm delight	
307	No. No	dislike	
308	Chris, I've been ready a long, long, time.	enthusiasm ecstasy	
309	And he's gone forever?  Are you sure?	acceptance serenity	
310	You started to write me.	serenity acceptance	
311	You felt something that far back?		
312	Every day since.		
313	Why didn't you let me know?		
314	Give me a kiss.	ecstasy delight	
315	God.  I kissed you Annie.	ecstasy delight	
316	beating around the bush.	ecstasy delight	
317	Oh Annie, we are going to live now.  I am going to make you so happy.	joy	
318	I kissed you.	ecstasy delight	
319	Like Larry's brother.  Do it like you, Chris.	ecstasy bliss	
320	Chris, what is it?		
321	No. What is it?  Is it your mother?		
322	No it's nothing like that. It's-		
323	Then what?  Chris.  Even in your letters, there was something ashamed.	fear disgust	
324	Yeah.  I suppose I have been. But it's going from me.	serenity	
325	I don't even know how to start.	terror loathing	
326	It wouldn't work like this.	grief rage	
327	It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?	enthusiasm delight	
328	Yeah, sure.	acceptance serenity	
329	Well I lost them.	pleasantness eagerness	
330	How many?		
331	Pretty much all.		
332	Aw, geez.	anger	
333	You can't just toss off a thing like that because they weren't just men. You know?	serenity acceptance	
334	Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.	enthusiasm ecstasy	
335	They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.	fear anger	
336	And I had this idea as I was watching them go down.  Everything was being destroyed, you know, but this one thing was being made.  It was kind of a monument, it's kind of responsibility, man for man.	ecstasy delight	
337	Mmhmm.		
338	To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.	ecstasy delight	
339	But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.	enthusiasm ecstasy	
340	Driving my new car and seeing a new refrigerator.	bliss ecstasy	
341	I mean...You can't take those things out of a war. when you drive that car and you see that new refrigerator, you have to know that it came out of the love that a man can have for another man.	sadness	
342	And I didn't want any of it. I guess that included you.	serenity acceptance	
343	Do you still feel that way?		
344	I just want you to know Annie.	grief loathing	
345	Because you mustn't feel that way.  Everything you have, you've earned - everything.  you understand me?	ecstasy calmness	
346	Even me.  And your money?  Chris, there's nothing wrong in your money.  Your father put hundreds of planes into the air, you should be proud of that.  A man should be paid for that.	ecstasy pleasantness	
347	What would I do with a fortune?	serenity	
348	Good God.	rage terror	
349	Is it them?		
350	Freda is the only one who knows we are here.  She wouldn't ring up.	calmness joy	
351	It must be them then.		
352	It had to happen sooner or later.  What are we going to do?	annoyance	
353	[BREATHING]	ecstasy enthusiasm	
354	We are okay, aren't we darling?	joy calmness	
355	Hello?  Hello?  I'm sorry, what's that?	grief fear	
356	No.  Wrong number. [LAUGHTER]	loathing fear	
357	What shall we do if they suddenly walk in on us.[LAUGHTER]	enthusiasm delight	
358	With perfect poise.	bliss enthusiasm	
359	I think I shall do a curtsy.	anxiety	
360	It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?	joy	
361	Darling, don't say that.	bliss joy	
362	It's true.  I think the whole thing's a cruel joke.	grief loathing	
363	What?  This beautiful and sacred thing - love?	bliss joy	
364	Yes.  Meaning just that.	ecstasy delight	
365	Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean?	bliss joy	
366	Oh darling, you mustn't be serious.  It's just what they want.	bliss joy	
367	You know, flippancy brings out the acid in their darned, light and sweetness.	grief loathing	
368	you know if I laugh at everything then I must laugh at us, too.	anger disgust	
369	Oh of course.  We are figures of fun.  All right.	ecstasy pleasantness	
370	How long with it last, this ludicrous overbearing love of ours?	anger dislike	
371	Who knows?		
372	Well it depends on how well we've played.	joy pleasantness	
373	What happens if one of us dies?  Does the other one still laugh?	ecstasy	
374	Well that's serious enough, isn't it?	eagerness pleasantness	
375	No, no, no, no. no.  Death is a very laughable thing.  It's a cunning little mystery, it's all done with mirrors.	grief terror	
376	I think you are talking nonsense.	grief loathing	
377	Oh.  So is everyone, in the long run.	ecstasy delight	
378	Let's be superficial, and just pity those poor philosophers, huh?  Let's blow trumpets and squeakers and enjoy the party for as long as we can, you know, like small, idiotic school children.	sadness anger	
379	[LAUGHTER]	enthusiasm delight	
380	Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.	ecstasy calmness	
381	Aw.  Thank you, darling.  The same applies to you too, except that if you so much as look at another woman I'll kill you.	fear anger	
382	The one where you put that tiny painted wooden snake in my bed.	fear dislike	
383	Oh Charles, that was his name.  He did wiggle so beautifully.	terror loathing	
384	[GARBAGE]	disgust	
385	It was a terrible thing.  I hated it.	sadness	
386	How long did that row last?	ecstasy delight	
387	It went on intermittently for days.	ecstasy delight	
388	Uh huh.	anger	
389	But the worst one was in Cannes when your curling irons burnt a hole in my new dressing gown.	grief loathing	
390	That was a rouser, wasn't it?		
391	[LAUGHTER] That was the first time you hit me.	loathing sadness	
392	I did not hit you very hard.	delight joy	
393	The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER]  How utterly, utterly ridiculous.	grief disgust	
394	[LAUGHTER] I'll never forget his face. [LAUGHTER]	enthusiasm delight	
395	[LAUGHTER] We were very much younger then.	ecstasy enthusiasm	
396	[LAUGHTER] And very much sillier.	disgust	
397	However I believe the real cause of that row was Peter Burden.	bliss delight	
398	Did you get the mail? So you saw my letter?	sadness fear	
399	It's not fair.	dislike	
400	Yeah.  I know.	serenity	
401	I don't know.  I put in that. request too. They didn't...	pleasantness serenity	
402	I guess, you know, everybody has to make sacrifices.	grief	
403	I don't know, it's just not fair.  I think you've already made your sacrifice.	grief dislike	
404	There's people that have given more though, you know?		
405	I know.		
406	I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.	terror	
407	I'm just trying to think of another way.  I'm just trying to...		
408	like you sign up because you need money and	serenity acceptance	
409	things just aren't what they seem.		
410	This is a stupid war.	grief rage	
411	We're doing the right thing, though.		
412	I know.		
413	If not me then, who?		
414	What am I going to do? Huh?	anger	
415	You'll videotape everything, yeah?	grief loathing	
416	Yeah.	serenity	
417	Maybe you can send it to me, like stream it, yeah?	serenity acceptance	
418	Last month--  Yeah.	serenity	
419	I just don't know how I'm going to do it without you.	terror disgust	
420	I have to find sitters.		
421	I can't raise a baby by myself.  How?	disgust	
422	We've got friends, that's why we moved here, huh?  Because there is a day care down the street.	pleasantness	
423	And your mother is close by.	pleasantness	
424	And I want lots and lots and lots of pictures.		
425	It's just not fair.	dislike	
426	About what I was saying.		
427	It certainly is not.  It's like slightly exaggerated scientific fact.	ecstasy delight	
428	It's a PR.		
429	Somebody sold you a bill of goods that something amazing is going to happen on the beach.	pleasantness serenity	
430	Everybody is believes that it keeps them excited, you know it keeps them coming back for more.	bliss joy	
431	Are we talking about the same thing?	grief loathing	
432	I'm sorry it still just fish to me.	grief fear	
433	Can I ask you a question?  Are you on your period?	bliss	
434	Okay, well then what's bugging you?	pleasantness eagerness	
435	Is not supposed to like anything.  We come down here, we look at the fish, they arrive, we go woo-ah fish.	ecstasy bliss	
436	And then we go home and they go home.	calmness	
437	Because they never do.  Do they, have they ever?		
438	We missed them twice.	grief loathing	
439	I feel like my whole life is going to be spent here on the beach with my eyes wide open and my hands clasped expectantly, waiting for fish to show up and the fish never show.	sadness fear	
440	Okay, I'm trying to work this backwards	ecstasy calmness	
441	You don't understand anything I'm saying.	grief rage	
442	and figure out where we took a turn to the worst thing.	ecstasy delight	
443	Of course not.	ecstasy calmness	
444	Do you remember the first year we came here? It's about four years ago right after we got married.	ecstasy delight	
445	We thought I was pregnant we had this bottle of champagne but no glasses.  You asked me to dance so we took off our shoes.	ecstasy enthusiasm	
446	While we were dancing you said the softest most intimate things to me, right into my ears so I could feel them much as hear them.	ecstasy delight	
447	Wait a minute, I've got it.	anxiety	
448	Dancing on the beach barefoot, drinking champagne from the bottle.	ecstasy pleasantness	
449	It was when we were driving passed that knickerbocker liquor locker and you would said, no you said "let's get some champagne" and I said "no time to wasting" or something like that.  That's what it is, right?	fear disgust	
450	You want this to be like the other times, right?	pleasantness	
451	I'd rather not remember some things.  I'd rather not hope for some things.	terror melancholy	
452	Do you want to dance?	ecstasy delight	
453	No.		
454	No.		
455	No.		
456	What? Huh?	anger	
457	You want to get married again?	ecstasy delight	
458	What?  What?  You want to divorce?	grief	
459	A vacation?	joy	
460	No.		
461	A new carpet, a poodle, a suicide pact, ice cream, a back rub, what?  What?  What the hell do you want?	grief rage	
462	You think there would be times when you'd look at me like I was used Kleenex and then I'd look at you and think "Holy hell when is the next flight to Alaska."	rage sadness	
463	No, no I'm just like you, I thought it was going to be all rosy cheeks and the bills would pay themselves and fish will always come and--	delight eagerness	
464	No.  You know what you get?  You know what you get?  You get this.	ecstasy bliss	
465	This what?  What is this?  This isn't even anything.		
466	Right.		
467	This isn't anything like I thought anything would be.	pleasantness	
468	This is just this.  I mean it includes a lot and everything but it's--do you understand what I'm saying?	ecstasy calmness	
469	I'm doing the best I can.	ecstasy delight	
470	I know that Augie, I really do.		
471	I just can't help wishing that I was somebody, somewhere else.	ecstasy delight	
472	Maybe if you were with somebody else too?		
473	I didn't say that.		
474	No, I know but--I know I don't make you happy.	joy	
475	Are you kidding me?  For heaven sake Augie anything I'm doing I'd rather be doing it with you.	enthusiasm pleasantness	
476	Yeah?	serenity	
477	Yes, don't be ridiculous.  Don't you know that?	ecstasy calmness	
478	So maybe we're in the wrong spot.  But we're with the right person.	enthusiasm	
479	I don't know, just seemed like such a good spot to me.	pleasantness	
480	Oh I saw that.  Pretty isn't it. Big ol' white moon.	enthusiasm ecstasy	
481	Look what we got here.		
482	It's not champagne.		
483	Are you cold, huh?  Do you want to go home?	calmness	
484	I'm beginning to think you might be right.  I think this might be the spot after all.	ecstasy	
485	Augie, I'm sorry.	grief fear	
486	Shh...	annoyance	
487	If we are really quiet, the fish might come.	serenity	
488	Or not.		
489	So what's up?  What's new?		
490	Well Vegas was awesome.	pleasantness responsiveness	
491	Shut up.  No- in Vegas?	annoyance	
492	Yeah.  In the old town part.	ecstasy delight	
493	Chuck. [LAUGHTER]	rage	
494	Oh.  The Wheel of Fortune slots?	serenity	
495	Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.	ecstasy delight	
496	He turned to you and was like...		
497	Hey.  Let's get married and I said okay.	ecstasy delight	
498	Yeah.  Well.  You know, because he's leaving the next day.	pleasantness eagerness	
499	Yeah.	serenity	
500	But we're going to have a honeymoon cruise.	enthusiasm calmness	
501	Oh.  I hadn't even thought about that.	disgust	
502	Yeah.  Think about that.	ecstasy calmness	
503	He's not going to be a citizen, though.	annoyance dislike	
504	Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?	ecstasy delight	
505	Oh.  Totally.		
506	Oh, how are you going to do the long distance thing?  So wait, are you going to move there?	anxiety	
507	I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]	enthusiasm delight	
508	Like you need another one of those.[LAUGHTER]	enthusiasm delight	
509	I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.	grief loathing	
510	Is that your phone?		
511	Yeah, so [LAUGHTER] He's calling me now	enthusiasm delight	
512	He loves you.	joy	
513	He likes to keep tabs, you know.	acceptance serenity	
514	How much did he win at the slot?	ecstasy enthusiasm	
515	Uh, I think seven hundred and fifty dollars.	bliss	
516	Really? Penny slots?	contentment	
